,ts,wspd,humidity,tempe,icon
54,2016-12-09 22:00:00,5.0,94.0,12.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
55,2016-12-09 23:00:00,5.27777777778,94.0,12.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
56,2016-12-10 00:00:00,5.0,94.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
57,2016-12-10 01:00:00,5.0,94.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
58,2016-12-10 02:00:00,5.0,94.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
59,2016-12-10 03:00:00,5.0,94.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
60,2016-12-10 04:00:00,4.44444444444,94.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
61,2016-12-10 05:00:00,4.44444444444,93.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
62,2016-12-10 06:00:00,3.88888888889,94.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
63,2016-12-10 07:00:00,4.44444444444,94.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
64,2016-12-10 08:00:00,3.88888888889,95.0,12.0,http://icons.wxug.com/i/c/k/cloudy.gif
65,2016-12-10 09:00:00,3.88888888889,95.0,12.0,http://icons.wxug.com/i/c/k/cloudy.gif
66,2016-12-10 10:00:00,4.44444444444,94.0,12.0,http://icons.wxug.com/i/c/k/cloudy.gif
67,2016-12-10 11:00:00,4.44444444444,93.0,12.0,http://icons.wxug.com/i/c/k/cloudy.gif
68,2016-12-10 12:00:00,5.0,91.0,12.0,http://icons.wxug.com/i/c/k/cloudy.gif
69,2016-12-10 13:00:00,5.0,86.0,13.0,http://icons.wxug.com/i/c/k/cloudy.gif
70,2016-12-10 14:00:00,5.0,84.0,13.0,http://icons.wxug.com/i/c/k/cloudy.gif
71,2016-12-10 15:00:00,4.44444444444,84.0,12.0,http://icons.wxug.com/i/c/k/cloudy.gif
72,2016-12-10 16:00:00,3.88888888889,85.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
73,2016-12-10 17:00:00,3.61111111111,86.0,12.0,http://icons.wxug.com/i/c/k/nt_cloudy.gif
74,2016-12-10 18:00:00,3.61111111111,88.0,12.0,http://icons.wxug.com/i/c/k/nt_chancerain.gif
75,2016-12-10 19:00:00,3.61111111111,89.0,12.0,http://icons.wxug.com/i/c/k/nt_chancerain.gif
76,2016-12-10 20:00:00,3.61111111111,89.0,12.0,http://icons.wxug.com/i/c/k/nt_chancerain.gif
77,2016-12-10 21:00:00,3.88888888889,89.0,11.0,http://icons.wxug.com/i/c/k/nt_rain.gif
78,2016-12-10 22:00:00,3.61111111111,90.0,11.0,http://icons.wxug.com/i/c/k/nt_rain.gif
79,2016-12-10 23:00:00,3.05555555556,94.0,10.0,http://icons.wxug.com/i/c/k/nt_rain.gif
80,2016-12-11 00:00:00,2.77777777778,95.0,9.0,http://icons.wxug.com/i/c/k/nt_chancerain.gif
81,2016-12-11 01:00:00,2.77777777778,96.0,8.0,http://icons.wxug.com/i/c/k/nt_chancerain.gif
82,2016-12-11 02:00:00,2.22222222222,95.0,8.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
83,2016-12-11 03:00:00,1.66666666667,94.0,7.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
84,2016-12-11 04:00:00,1.66666666667,93.0,7.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
85,2016-12-11 05:00:00,1.66666666667,94.0,6.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
86,2016-12-11 06:00:00,1.66666666667,96.0,6.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
87,2016-12-11 07:00:00,1.66666666667,95.0,5.0,http://icons.wxug.com/i/c/k/nt_clear.gif
88,2016-12-11 08:00:00,1.66666666667,96.0,4.0,http://icons.wxug.com/i/c/k/clear.gif
89,2016-12-11 09:00:00,2.22222222222,97.0,5.0,http://icons.wxug.com/i/c/k/clear.gif
90,2016-12-11 10:00:00,2.22222222222,92.0,7.0,http://icons.wxug.com/i/c/k/clear.gif
